Num cards,average rounds,stddev,min,max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,1.3918,0.6527904514753212,1,6,0.6877,0.9331,0.9891,0.9984,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.9535,1.218477007834724,1,13,0.4738,0.7524,0.8917,0.9558,0.9821,0.9937,0.9981,0.9994,0.9998,0.9999,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2.7786,2.0097228511896508,1,19,0.3289,0.5661,0.7258,0.833,0.9015,0.9408,0.9669,0.9812,0.9899,0.9939,0.9966,0.9983,0.9992,0.9998,0.9998,0.9999,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3.9784,3.102659518801404,1,25,0.2204,0.4093,0.5569,0.6697,0.7588,0.8277,0.8743,0.9113,0.9347,0.955,0.9679,0.979,0.9863,0.9909,0.9935,0.9958,0.9967,0.9977,0.9981,0.9987,0.9995,0.9996,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5.7758,4.807602902129757,1,40,0.153,0.2907,0.4035,0.514,0.5972,0.6672,0.727,0.7789,0.8169,0.8509,0.8816,0.9059,0.9257,0.941,0.9526,0.9629,0.9712,0.9764,0.9804,0.9848,0.9874,0.9901,0.9924,0.9936,0.9949,0.9962,0.997,0.9975,0.9982,0.9989,0.999,0.9992,0.9994,0.9996,0.9997,0.9998,0.9998,0.9998,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,8.2924,7.012418957960526,1,59,0.1059,0.1982,0.286,0.3681,0.4414,0.5064,0.5702,0.6242,0.673,0.7166,0.752,0.7858,0.811,0.8366,0.8596,0.8781,0.8961,0.9105,0.9222,0.9345,0.9441,0.9518,0.9584,0.9667,0.9708,0.9758,0.9802,0.9831,0.9848,0.9877,0.9895,0.991,0.9929,0.9941,0.9946,0.9951,0.9957,0.9961,0.9965,0.9974,0.9982,0.9984,0.9986,0.9988,0.9991,0.9992,0.9992,0.9992,0.9992
7,11.9322,10.46615293198602,1,89,0.0714,0.1376,0.2044,0.2637,0.3256,0.3783,0.4314,0.4794,0.5212,0.563,0.5985,0.6318,0.6675,0.7002,0.7261,0.7525,0.776,0.7993,0.8193,0.8347,0.8485,0.8614,0.8729,0.8836,0.8951,0.9043,0.9141,0.9223,0.9303,0.9363,0.9411,0.9465,0.9523,0.9561,0.9603,0.9647,0.969,0.9718,0.9744,0.9775,0.9788,0.9814,0.983,0.9847,0.9858,0.988,0.9896,0.9907,0.992
8,17.1846,15.044426087944716,1,121,0.0503,0.0963,0.1416,0.1875,0.2296,0.2706,0.3103,0.3465,0.3877,0.4219,0.4533,0.4849,0.5169,0.5461,0.5742,0.5965,0.6204,0.6423,0.6635,0.6838,0.7018,0.7231,0.7385,0.7565,0.7725,0.7898,0.8036,0.8157,0.8273,0.8393,0.8504,0.8602,0.8681,0.8765,0.8845,0.8909,0.899,0.9055,0.9121,0.9183,0.924,0.9292,0.9353,0.9394,0.9437,0.9477,0.9506,0.9543,0.9573
9,25.3453,22.846629177112227,1,206,0.0348,0.066,0.0976,0.1288,0.1581,0.1907,0.2205,0.2462,0.2756,0.3024,0.3286,0.3572,0.3802,0.4029,0.4298,0.454,0.4768,0.4975,0.5168,0.5371,0.5541,0.5711,0.5894,0.6043,0.6197,0.6375,0.651,0.6658,0.6805,0.6929,0.7039,0.7154,0.7273,0.7387,0.7494,0.7611,0.7723,0.783,0.7926,0.8012,0.8082,0.8154,0.8229,0.8312,0.8383,0.8458,0.8516,0.8575,0.8657
10,36.7732,33.34438403321698,1,297,0.0225,0.0437,0.0661,0.0878,0.1088,0.1302,0.1498,0.1718,0.1922,0.2132,0.2343,0.2549,0.2745,0.2934,0.3106,0.3289,0.3437,0.3622,0.3791,0.3957,0.4112,0.4251,0.4426,0.4585,0.4718,0.4852,0.5006,0.5154,0.5294,0.5436,0.5556,0.5682,0.5787,0.5904,0.6033,0.6163,0.6266,0.6375,0.6493,0.6594,0.6696,0.6788,0.6879,0.696,0.7041,0.7126,0.7215,0.7294,0.7376
