Num cards,average rounds,stddev,min,max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,2.2988,1.7005904153487628,1,19,0.4277,0.6779,0.8212,0.8982,0.9439,0.9713,0.9831,0.9902,0.9949,0.9969,0.9984,0.9993,0.9994,0.9996,0.9997,0.9998,0.9998,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5.3498,4.829448448553077,1,46,0.184,0.3407,0.4654,0.5623,0.6411,0.7105,0.7638,0.8084,0.845,0.8726,0.8979,0.919,0.9334,0.9467,0.9571,0.9651,0.9709,0.9769,0.9801,0.984,0.9872,0.9893,0.9909,0.9921,0.9932,0.9948,0.9956,0.9964,0.9976,0.9981,0.9985,0.9986,0.9987,0.999,0.999,0.9993,0.9994,0.9995,0.9996,0.9996,0.9997,0.9997,0.9997,0.9999,0.9999,1.0,1.0,1.0,1.0
3,11.9401,11.208999783995704,1,102,0.0845,0.1583,0.2264,0.2905,0.3518,0.4037,0.4545,0.4967,0.5362,0.5772,0.6121,0.6445,0.6732,0.7004,0.7278,0.7498,0.7712,0.7919,0.8118,0.8289,0.8431,0.8562,0.8686,0.8796,0.8895,0.8976,0.9075,0.9151,0.9228,0.9295,0.9354,0.9414,0.9471,0.9514,0.9553,0.9588,0.9617,0.9648,0.9682,0.9715,0.9737,0.976,0.9787,0.9805,0.982,0.9832,0.9845,0.9865,0.9874
4,27.935,27.253580512752386,1,286,0.0336,0.0639,0.0981,0.1285,0.1608,0.1906,0.2164,0.2422,0.2701,0.2963,0.324,0.3487,0.3711,0.3928,0.4155,0.4364,0.4571,0.4776,0.4956,0.5125,0.5298,0.5498,0.5674,0.5827,0.5976,0.6137,0.6265,0.6394,0.6529,0.6656,0.6799,0.6905,0.7018,0.7122,0.7223,0.7325,0.7435,0.7539,0.7614,0.7697,0.7774,0.7853,0.7924,0.7999,0.8083,0.8154,0.8237,0.8305,0.8379
5,65.105,65.10273121429819,1,702,0.0144,0.0284,0.043,0.059,0.073,0.089,0.1034,0.1165,0.1304,0.1429,0.1555,0.168,0.1798,0.1914,0.204,0.2159,0.2286,0.2412,0.2527,0.2632,0.274,0.2848,0.2979,0.3083,0.3209,0.3324,0.3416,0.3535,0.3649,0.375,0.385,0.3933,0.4022,0.4113,0.4207,0.4291,0.4377,0.4456,0.4544,0.4648,0.4725,0.4797,0.4883,0.4972,0.5051,0.5117,0.5188,0.5259,0.5336
6,149.318,145.11463365798147,1,1230,0.0094,0.0152,0.0198,0.0262,0.0331,0.0393,0.0451,0.0531,0.059,0.0654,0.0721,0.0786,0.0849,0.09,0.0962,0.1021,0.1085,0.1134,0.1201,0.1253,0.1314,0.1368,0.1423,0.1485,0.1532,0.1582,0.1625,0.1687,0.1748,0.1813,0.1869,0.1918,0.1969,0.2015,0.2074,0.2119,0.2159,0.2219,0.2267,0.232,0.2381,0.2426,0.2484,0.2522,0.2565,0.2608,0.2655,0.2693,0.2738
7,351.2166,349.56472080838387,1,3106,0.0036,0.0078,0.0094,0.0129,0.015,0.0176,0.0209,0.0232,0.0268,0.0294,0.0318,0.0346,0.0375,0.04,0.0436,0.0459,0.0499,0.0522,0.0542,0.0567,0.0594,0.0627,0.0655,0.0682,0.0712,0.0739,0.0767,0.0787,0.081,0.0834,0.0856,0.087,0.0893,0.0921,0.0942,0.0961,0.0984,0.1009,0.1032,0.1052,0.1074,0.1099,0.1123,0.1149,0.1166,0.1196,0.1217,0.125,0.1269
8,811.9924,795.7115696233424,1,7755,0.0011,0.0017,0.0032,0.0047,0.0061,0.0073,0.0089,0.0095,0.0112,0.0124,0.0137,0.0143,0.0153,0.0165,0.0175,0.0194,0.0208,0.022,0.0231,0.0243,0.0261,0.0271,0.0282,0.0298,0.0309,0.032,0.0328,0.0338,0.0347,0.036,0.0373,0.0379,0.0388,0.0397,0.0403,0.0414,0.0421,0.0432,0.0445,0.0464,0.0482,0.0494,0.0512,0.0529,0.0534,0.0545,0.0555,0.0566,0.0575
9,1877.1755,1867.4974765665008,1,20547,0.0006,0.0009,0.0016,0.002,0.0026,0.0031,0.0039,0.0043,0.0052,0.0057,0.006,0.0065,0.0073,0.0081,0.0085,0.0088,0.009,0.0094,0.0097,0.0104,0.0108,0.0113,0.0114,0.012,0.0123,0.0127,0.0129,0.0136,0.0143,0.0146,0.0149,0.0154,0.0159,0.0166,0.0172,0.018,0.0181,0.0185,0.0188,0.0192,0.0196,0.02,0.0205,0.0208,0.021,0.0218,0.0226,0.0235,0.0238
10,4398.2884,4375.722248423107,1,37018,0.0001,0.0005,0.0007,0.001,0.0012,0.0013,0.0016,0.0019,0.0022,0.0026,0.0026,0.0029,0.0032,0.0033,0.0035,0.0037,0.0037,0.0038,0.0041,0.0043,0.0045,0.0047,0.0049,0.0052,0.0052,0.0055,0.0056,0.0058,0.0058,0.0063,0.0063,0.0065,0.0066,0.0067,0.0068,0.0069,0.007,0.0072,0.0074,0.0075,0.0079,0.008,0.008,0.0083,0.0084,0.0086,0.0088,0.009,0.0093
11,10383.9452,10339.517089533798,1,115485,0.0001,0.0002,0.0004,0.0005,0.0007,0.0007,0.0007,0.0008,0.0009,0.001,0.001,0.0011,0.0012,0.0013,0.0013,0.0013,0.0014,0.0016,0.002,0.0022,0.0026,0.0027,0.0027,0.0029,0.003,0.0033,0.0033,0.0034,0.0035,0.0036,0.0038,0.004,0.0041,0.0045,0.0045,0.0046,0.0048,0.0048,0.0049,0.005,0.0051,0.0052,0.0056,0.0058,0.0059,0.0059,0.006,0.0062,0.0063
12,24160.99,24336.308849604582,2,224695,0.0,0.0001,0.0001,0.0002,0.0002,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0007,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.001,0.0011,0.0012,0.0013,0.0014,0.0015,0.0015,0.0017,0.0019,0.002,0.002,0.002,0.002,0.002,0.0022,0.0022,0.0022,0.0022,0.0023,0.0023,0.0024,0.0024,0.0024,0.0024,0.0025,0.0027
13,57120.1584,56065.715463553606,9,423848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
