Num cards,average rounds,stddev,min,max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,2.1086,1.5288687922704152,1,16,0.4744,0.7228,0.8551,0.9232,0.959,0.9799,0.9904,0.9939,0.9967,0.9983,0.9988,0.9994,0.9997,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4.546,3.991500621034747,1,44,0.2204,0.3898,0.5242,0.6295,0.7148,0.7767,0.8231,0.8593,0.891,0.9124,0.9323,0.9501,0.9607,0.9689,0.9762,0.9825,0.9867,0.9899,0.9924,0.9947,0.9955,0.9963,0.9972,0.9979,0.9985,0.9989,0.9991,0.9993,0.9994,0.9994,0.9995,0.9996,0.9996,0.9996,0.9996,0.9998,0.9998,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0
3,9.4595,8.98125971412726,1,74,0.1093,0.2052,0.2899,0.3665,0.4341,0.4954,0.5506,0.5992,0.6421,0.6778,0.7086,0.7359,0.7609,0.7857,0.8073,0.8285,0.8479,0.8618,0.8777,0.8895,0.9007,0.9102,0.9195,0.9266,0.9355,0.9423,0.9488,0.9527,0.9574,0.9617,0.9651,0.9685,0.9723,0.9754,0.9787,0.9813,0.9834,0.9855,0.9876,0.9894,0.9911,0.992,0.9927,0.9932,0.9944,0.995,0.9953,0.9961,0.9963
4,20.2332,19.915398064512967,1,231,0.0496,0.1041,0.1491,0.1903,0.2308,0.2676,0.3052,0.3385,0.3704,0.3983,0.4278,0.4557,0.4823,0.5099,0.5325,0.5566,0.5789,0.6011,0.621,0.6406,0.6578,0.6736,0.6891,0.7034,0.7165,0.7301,0.7434,0.7565,0.7688,0.7797,0.7881,0.7994,0.8078,0.8181,0.8291,0.8378,0.8455,0.8524,0.8586,0.8665,0.8732,0.8801,0.8854,0.8905,0.8959,0.9009,0.905,0.9106,0.9151
5,43.6849,43.93504114911101,1,562,0.0218,0.0416,0.0632,0.0859,0.1056,0.1266,0.1486,0.1677,0.1854,0.2037,0.2228,0.2399,0.2567,0.277,0.2954,0.3104,0.3279,0.3431,0.3569,0.373,0.3885,0.4041,0.4164,0.4301,0.4432,0.4567,0.4685,0.4807,0.4915,0.5034,0.5132,0.5243,0.5338,0.5471,0.5555,0.5656,0.5756,0.5848,0.5939,0.6028,0.6122,0.621,0.6288,0.6382,0.6457,0.6545,0.6634,0.6719,0.6791
6,89.4567,89.84159324220397,1,839,0.0116,0.0234,0.034,0.0454,0.0553,0.0652,0.0765,0.0868,0.0984,0.1077,0.1175,0.1281,0.1367,0.146,0.155,0.1648,0.1743,0.1837,0.1933,0.2019,0.2126,0.2213,0.2294,0.2389,0.2469,0.2554,0.2629,0.2707,0.2799,0.2886,0.2968,0.3028,0.3111,0.319,0.3262,0.3342,0.341,0.3483,0.3541,0.3623,0.3712,0.3796,0.3876,0.3944,0.4,0.4063,0.4143,0.4208,0.4259
7,199.0598,197.64827372879026,1,2101,0.0037,0.0076,0.0134,0.0186,0.0225,0.0271,0.0313,0.0373,0.0408,0.0456,0.052,0.056,0.0607,0.0649,0.0696,0.0735,0.0769,0.0817,0.0865,0.0911,0.0967,0.101,0.1036,0.1085,0.112,0.1161,0.1206,0.1252,0.1291,0.1344,0.1386,0.1438,0.1476,0.1528,0.1575,0.1624,0.1657,0.1703,0.1737,0.1783,0.1829,0.1872,0.1919,0.1956,0.1993,0.2036,0.2077,0.2119,0.2157
8,416.0811,414.469007500691,1,3716,0.0022,0.0041,0.006,0.0088,0.0117,0.0136,0.0161,0.0184,0.0202,0.0227,0.0248,0.0272,0.0297,0.0326,0.0355,0.0381,0.0402,0.0421,0.045,0.0481,0.0507,0.0525,0.0545,0.0569,0.0589,0.0609,0.0628,0.0643,0.0669,0.069,0.0708,0.0727,0.0763,0.079,0.0817,0.0838,0.0861,0.0881,0.0903,0.0928,0.0953,0.0979,0.1003,0.102,0.1037,0.1066,0.1084,0.1107,0.113
9,872.4661,874.491539236378,1,8845,0.0013,0.0029,0.0045,0.0051,0.0059,0.0074,0.0085,0.0089,0.0101,0.0106,0.0114,0.0124,0.0139,0.0145,0.0151,0.0162,0.0173,0.0185,0.02,0.0213,0.0219,0.0235,0.0247,0.0257,0.0268,0.0275,0.0283,0.0292,0.03,0.0315,0.033,0.0344,0.0359,0.0372,0.0387,0.0397,0.0404,0.0413,0.0426,0.0436,0.0443,0.0458,0.0469,0.0478,0.0493,0.0505,0.0515,0.0529,0.0538
10,1894.5849,1878.8263185365254,1,19133,0.0004,0.0008,0.0013,0.0021,0.0024,0.0026,0.003,0.0032,0.0041,0.0046,0.0049,0.0053,0.0062,0.0069,0.0073,0.008,0.0087,0.0091,0.0097,0.0102,0.0106,0.0109,0.0114,0.012,0.0124,0.0128,0.0139,0.0143,0.0152,0.0156,0.0163,0.0167,0.0172,0.0183,0.0189,0.0194,0.0199,0.0201,0.0205,0.0208,0.0215,0.0222,0.0224,0.0225,0.023,0.0238,0.0243,0.0252,0.0258
